,Binary Race Variable,Coordinated Entry,Day Shelter,Emergency Shelter,Homelessness Prevention,Other,PH - Housing Only,PH - Housing with Services (no disability required for entry),PH - Permanent Supportive Housing (disability required for entry),PH - Rapid Re-Housing,Safe Haven,Services Only,Street Outreach,Transitional Housing,Year
10,Asian or Asian American,0.9165175081423061,3.1490601561812572,4.25358125573737,1.7390332205777093,0.04700089785345161,0.0,0.42300808068106444,2.091539954478596,1.7860341184311608,0.023500448926725804,4.606087989638257,4.112578562177015,0.9400179570690321,2020
11,Non-Asian or Asian American,7.7790263287129156,27.036902246730172,35.71042958952775,9.964810907876991,0.22275511634793135,0.03480548692936428,3.2055853461944497,15.815613260703127,15.798210517238445,0.26104115197023203,38.975184263502115,38.2860356223007,8.461213872528456,2020
12,Non-White,46.1894847153123,28.32238946497056,49.07781941844035,12.615577608290723,0.27451114947084826,1.7902901052446627,5.191841305209521,24.99244986921549,30.912342483891173,0.25064061473425275,54.926100428906246,49.78200019316992,9.858530846213942,2021
13,White,26.914219903726465,16.567910999168472,28.629122636532227,6.059052072543584,0.17880502427358663,1.20693391384671,3.1656616797528185,12.898344251008275,11.906789116400203,0.3779288013055354,29.275258974248143,32.15239436483222,6.725507163017862,2021
14,"Black, African American, or African",142.80803161897578,95.5482091764565,145.46064479157997,33.45540695243633,0.8120244405931147,5.575901158739388,16.61943355080575,83.80092226920944,98.25495731176689,0.8120244405931147,166.84395506053198,138.26069475165434,31.885493033956305,2021
15,"Non-Black, African American, or African",25.225516308481595,15.045390694492204,27.200524905517387,6.197994458990385,0.16699259682253886,1.1047202559029494,2.9127362561162067,11.94639346499701,11.898222523605893,0.3179282131813721,28.01621951307364,30.601393367730246,6.075961407466222,2021
16,Native Hawaiian or Pacific Islander,71.74687057329388,34.35765633087312,92.46251630220267,16.673568513511956,0.0,3.0315579115476283,8.58941408271828,38.90499319819457,47.99966693283745,0.5052596519246048,72.25213022521848,67.19953370597243,16.673568513511956,2021
17,Non-Native Hawaiian or Pacific Islander,31.569070364617204,19.46418771780379,33.46913130917875,7.670390490485197,0.2043404226093472,1.3449869607570466,3.650678893483412,15.831807966643602,16.54547451724938,0.34463384708740646,35.57048281929577,36.4457917937567,7.466050067875849,2021
18,Multi-Racial,28.33578619364926,13.858550452789157,24.004989177152645,7.91917168730809,0.30934264403547224,1.237370576141889,2.9696893827405337,15.281526615352329,17.261319537179354,0.06186852880709445,35.265061420043835,23.75751506192427,4.578271131724989,2021
19,Non-Multi-Racial,31.989152095037277,19.846981658565234,34.32896650836636,7.714374496262105,0.19764099949101258,1.3611726900429415,3.7169258936535594,16.005733200715714,16.70703997310318,0.36021666036265193,35.81764952066157,37.29358150073155,7.672933641530118,2021
20,"American Indian, Alaska Native, or Indigenous",53.052263452083494,36.378694938571535,60.847698081777395,4.763876718146273,0.21653985082483057,1.9488586574234752,4.547336867321442,20.138206126709242,19.05550687258509,0.43307970164966114,54.35150255703248,63.87925599332502,11.909691795365681,2021
21,"Non-American Indian, Alaska Native, or Indigenous",31.508524825091378,19.31465192732475,33.439375097354976,7.766445521875568,0.20292375472834026,1.3466758268335308,3.6680005968319684,15.911067132108496,16.701239934611277,0.34435546256930466,35.52703008918139,36.243412435419316,7.458985287438688,2021
22,Asian or Asian American,4.770591132125338,2.491047586232935,4.488585745004627,1.1985228952630158,0.04700089785345161,0.1410026935603548,0.6110116720948708,2.514548035159661,2.2090421991122255,0.023500448926725804,5.14659831495295,4.512086193931354,1.0340197527759354,2021
23,Non-Asian or Asian American,35.81484605031584,22.080600907988696,38.16769696674086,8.69093008626226,0.22623566504086778,1.5349219735849646,4.1348918472084755,17.963111804244903,18.885457207873056,0.3933020023018163,40.32911770505438,41.387204507707054,8.482097164686074,2021
24,Non-White,67.8758655235093,31.055565692310747,48.46912078265717,10.359812075682447,0.27451114947084826,3.962508766274853,5.35893504836569,30.35138491758118,36.104183789100695,0.3699932884172303,62.95853536777064,55.11706470679901,10.67012902725819,2022
25,White,36.54937246174178,18.07556245383894,28.141472570331537,4.9212019180753055,0.17880502427358663,2.657692860793765,3.1981716841661973,15.682013378903884,13.255954299555446,0.33729129578881123,33.46904954357409,33.306499521507185,7.140009719288449,2022
26,"Black, African American, or African",203.06024511098488,102.42334944014488,144.05313576121856,30.261444152770075,0.8120244405931147,12.288636534309134,16.78183843892437,101.71959492496417,116.44430478105265,1.1368342168303605,186.33254163476673,152.60645986879936,35.18772575903497,2022
27,"Non-Black, African American, or African",35.100559293660574,16.56438104635876,26.734872472069924,4.881322060966521,0.16699259682253886,2.437449634390519,2.9737527818782885,14.52514452746814,13.282334239577322,0.2986598366249253,32.33554725781046,32.09790394694761,6.426003581575006,2022
28,Native Hawaiian or Pacific Islander,114.18868133496068,50.02070554053587,98.02037247337333,8.084154430793676,0.0,6.568375475019862,8.58941408271828,48.50492658476205,54.56804240785732,1.0105193038492095,91.45199699835345,87.40991978295662,20.21038607698419,2022
29,Non-Native Hawaiian or Pacific Islander,44.08568371370319,21.199556381456304,32.91405732537425,6.291855102135572,0.2043404226093472,2.9675109134163407,3.7177757486685707,19.232398581709603,18.845066735868006,0.34158399003353557,40.654594528098485,38.553243017981465,7.963176767656799,2022
30,Multi-Racial,41.080703127910716,13.549207808753684,24.87114858045197,5.444430535024312,0.30934264403547224,2.5366096810908725,3.2790320267760062,18.993638343778,18.560558642128335,0.18560558642128336,41.2044401855249,29.635025298598244,4.640139660532084,2022
31,Non-Multi-Racial,44.682804675250374,21.775575282630758,33.739231267949634,6.3468262901065495,0.19764099949101258,3.0124313632097888,3.7711177806107723,19.429385353189062,19.08510748310794,0.35384114425003865,40.94675223325898,39.32099562454258,8.211664753045943,2022
32,"American Indian, Alaska Native, or Indigenous",95.27753436292545,48.72146643558688,70.8085312197196,6.929275226394578,0.21653985082483057,5.413496270620765,4.763876718146273,25.55170239733001,23.169764038256876,0.6496195524744918,80.11974480518732,80.98590420848664,13.642010601964326,2022
33,"Non-American Indian, Alaska Native, or Indigenous",43.78541198615597,20.984161000317005,32.77218638862695,6.293710998922917,0.20292375472834026,2.954692852938409,3.732567246063713,19.32080113201349,19.001042488199133,0.34128086022493587,40.40334940735029,38.248053163947766,7.957070867226433,2022
34,Asian or Asian American,5.781110435974547,2.679051177646741,3.9010745218364833,1.762533669504435,0.04700089785345161,0.3995076317543386,0.6345121210215966,2.6320502797932894,2.4205462394527575,0.04700089785345161,5.687108640267644,4.629588438564983,0.7755148145819515,2022
35,Non-Asian or Asian American,50.24172038253733,24.141085734207063,37.65953685757215,6.9750195806446005,0.22623566504086778,3.3726516834553983,4.207983369760141,21.892651278570128,21.52371311711887,0.3898214536088799,46.18340060657346,43.914082858778904,9.112076478107566,2022
